Model,score,Avg Retained Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,1.0233333333333334,-0.011666666666666678,mse,0.0005,0.1,0.1,0.98,0.0,0.97,0.995,0.985,0.98,0.955,0.975,0.95,0.975,0.985,0.98,0.96,0.965,0.975,0.985,0.955,0.96,0.955,0.98
VAE,0.991111111111111,-0.00555555555555556,bce,0.0005,0.1,0.1,0.98,0.02,0.97,0.975,0.985,0.96,0.955,0.985,0.95,0.955,0.985,0.975,0.96,0.95,0.975,1.0,0.955,0.955,0.955,0.985
VAE,0.9727777777777777,-0.013888888888888902,mse,0.0001,0.1,0.1,0.98,0.055,0.97,0.99,0.985,0.995,0.955,0.98,0.95,0.975,0.985,0.975,0.96,0.99,0.975,0.98,0.955,0.955,0.955,0.975
VAE,1.02,-0.010000000000000009,mse,0.0005,0.1,0.1,0.98,0.0,0.97,0.965,0.985,0.98,0.955,0.985,0.95,0.975,0.985,0.97,0.96,0.99,0.975,0.985,0.955,0.98,0.955,0.95
VAE,1.0255555555555556,-0.012777777777777789,mse,0.001,0.1,0.1,0.98,0.0,0.97,1.0,0.985,0.985,0.955,0.975,0.95,0.96,0.985,0.975,0.96,0.99,0.975,0.98,0.955,0.96,0.955,0.98
VAE,1.0355555555555556,-0.017777777777777795,mse,0.001,0.01,0.1,0.98,0.0,0.97,1.0,0.985,0.995,0.955,0.99,0.95,0.96,0.985,0.975,0.96,0.99,0.975,0.995,0.955,0.965,0.955,0.98
VAE,1.0166666666666666,-0.00833333333333334,mse,0.001,0.1,0.1,0.98,0.0,0.97,0.985,0.985,0.985,0.955,0.97,0.95,0.965,0.985,0.95,0.96,0.97,0.975,0.985,0.955,0.965,0.955,0.99
VAE,1.0255555555555556,-0.012777777777777789,mse,0.001,0.01,0.01,0.98,0.0,0.97,0.975,0.985,0.99,0.955,1.0,0.95,0.94,0.985,0.97,0.96,0.995,0.975,0.98,0.955,0.98,0.955,0.975
VAE,1.018888888888889,-0.009444444444444453,mse,0.001,0.01,0.1,0.98,0.0,0.97,0.97,0.985,0.985,0.955,0.99,0.95,0.96,0.985,0.97,0.96,0.995,0.975,0.98,0.955,0.96,0.955,0.965
GAN,0.4616666666666666,0.051666666666666666,l1,5e-05,0.1,-1.0,0.985,0.435,1.0,1.0,1.0,1.0,0.995,1.0,0.74,0.81,0.995,0.67,0.865,0.835,0.97,0.69,0.88,1.0,0.98,0.955
GAN,0.48055555555555557,0.012222222222222221,smooth_l1,5e-05,0.1,-1.0,0.985,0.495,1.0,1.0,1.0,1.0,0.995,1.0,0.74,0.755,0.995,0.995,0.865,0.89,0.97,0.715,0.88,1.0,0.98,0.96
GAN,0.16944444444444448,0.11277777777777777,smooth_l1,1e-05,0.1,-1.0,0.985,0.605,1.0,0.985,1.0,0.975,0.995,0.985,0.74,0.585,0.995,0.98,0.865,0.675,0.97,0.32,0.88,0.985,0.98,0.92
GAN,0.445,0.009999999999999985,smooth_l1,5e-05,0.1,-1.0,0.985,0.535,1.0,0.99,1.0,1.0,0.995,1.0,0.74,0.81,0.995,0.955,0.865,0.905,0.97,0.675,0.88,1.0,0.98,1.0
GAN,0.5733333333333334,-0.04666666666666667,smooth_l1,0.0001,0.1,-1.0,0.985,0.52,1.0,1.0,1.0,1.0,0.995,1.0,0.74,0.925,0.995,1.0,0.865,0.965,0.97,1.0,0.88,1.0,0.98,0.955
GAN,0.2866666666666666,0.08166666666666665,smooth_l1,0.0001,0.01,-1.0,0.985,0.55,1.0,0.995,1.0,0.995,0.995,0.985,0.74,0.77,0.995,0.765,0.865,0.785,0.97,0.425,0.88,1.0,0.98,0.97
GAN,0.6211111111111112,-0.04555555555555556,smooth_l1,0.0001,0.1,-1.0,0.985,0.47,1.0,0.99,1.0,1.0,0.995,1.0,0.74,0.925,0.995,1.0,0.865,0.96,0.97,0.98,0.88,1.0,0.98,0.98
GAN,0.5311111111111111,-0.04555555555555556,smooth_l1,0.0001,0.1,-1.0,0.985,0.56,1.0,1.0,1.0,1.0,0.995,1.0,0.74,0.925,0.995,0.985,0.865,0.95,0.97,0.995,0.88,1.0,0.98,0.98
RectifiedFlow,0.9711111111111111,0.014444444444444433,mse,0.0001,0.1,0.1,0.98,0.0,0.985,0.99,0.975,0.97,0.915,0.975,0.9,0.88,0.96,0.92,0.99,0.965,0.94,0.96,0.97,0.91,0.955,0.89
