Model,score,Avg Retained Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,0.48,0.004999999999999992,mse,0.0005,0.01,0.01,0.965,0.99,0.945,0.975,0.99,0.985,0.945,0.965,0.96,0.945,0.96,0.95,0.985,0.92,0.975,0.955,0.95,0.945,0.955,0.51
VAE,0.031111111111111138,0.004444444444444449,bce,0.0005,0.01,0.01,0.965,0.975,0.945,0.945,0.99,0.985,0.945,0.95,0.96,0.955,0.96,0.945,0.985,0.965,0.975,0.96,0.95,0.955,0.955,0.96
VAE,0.08722222222222221,-0.006111111111111129,mse,0.0001,0.01,0.01,0.965,0.99,0.945,0.97,0.99,0.985,0.945,0.955,0.96,0.975,0.96,0.935,0.985,0.975,0.975,0.98,0.95,0.965,0.955,0.925
VAE,0.3383333333333334,0.013333333333333308,mse,0.0005,0.01,0.01,0.965,0.98,0.945,0.975,0.99,0.995,0.945,0.93,0.96,0.94,0.96,0.92,0.985,0.94,0.975,0.95,0.95,0.925,0.955,0.635
VAE,0.9222222222222223,0.03388888888888886,mse,0.001,0.01,0.01,0.965,0.965,0.945,0.92,0.99,0.99,0.945,0.95,0.96,0.885,0.96,0.97,0.985,0.93,0.975,0.875,0.95,0.885,0.955,0.01
VAE,0.78,0.10499999999999998,mse,0.001,0.0001,0.01,0.965,0.895,0.945,0.855,0.99,1.0,0.945,0.905,0.96,0.62,0.96,0.96,0.985,0.845,0.975,0.815,0.95,0.835,0.955,0.01
VAE,0.8616666666666668,0.06666666666666662,mse,0.001,0.001,0.01,0.965,0.91,0.945,0.895,0.99,0.995,0.945,0.915,0.96,0.78,0.96,0.945,0.985,0.915,0.975,0.855,0.95,0.865,0.955,0.005
VAE,0.9538888888888889,0.020555555555555535,mse,0.001,0.01,0.01,0.965,0.97,0.945,0.95,0.99,0.99,0.945,0.955,0.96,0.885,0.96,0.98,0.985,0.91,0.975,0.91,0.95,0.94,0.955,0.005
VAE,0.8688888888888889,0.010555555555555528,mse,0.001,0.1,0.01,0.965,0.98,0.945,0.96,0.99,0.995,0.945,0.96,0.96,0.925,0.96,0.965,0.985,0.935,0.975,0.9,0.95,0.96,0.955,0.11
VAE,0.93,0.029999999999999978,mse,0.001,0.01,0.0001,0.965,0.955,0.945,0.945,0.99,0.99,0.945,0.98,0.96,0.865,0.96,0.965,0.985,0.935,0.975,0.885,0.95,0.885,0.955,0.01
