Model,score,Avg Retained Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,1.0255555555555556,-0.012777777777777789,mse,0.0005,0.1,0.1,0.97,0.985,0.95,0.0,0.985,0.99,0.975,0.98,0.97,0.965,0.95,0.97,0.965,0.985,0.98,0.99,0.965,0.98,0.955,0.985
VAE,1.0055555555555555,-0.00277777777777778,bce,0.0005,0.1,0.1,0.97,0.99,0.95,0.0,0.985,0.975,0.975,0.975,0.97,0.97,0.95,0.955,0.965,0.95,0.98,0.985,0.965,0.97,0.955,0.97
VAE,1.011111111111111,-0.00555555555555556,mse,0.0001,0.1,0.1,0.97,0.985,0.95,0.0,0.985,0.995,0.975,0.965,0.97,0.975,0.95,0.98,0.965,0.975,0.98,0.97,0.965,0.955,0.955,0.965
VAE,1.0133333333333334,-0.006666666666666672,mse,0.0005,0.1,0.1,0.97,0.99,0.95,0.0,0.985,0.97,0.975,0.975,0.97,0.985,0.95,0.96,0.965,0.99,0.98,0.98,0.965,0.95,0.955,0.975
VAE,1.0266666666666666,-0.013333333333333345,mse,0.001,0.1,0.1,0.97,0.995,0.95,0.0,0.985,0.97,0.975,0.98,0.97,0.97,0.95,0.985,0.965,0.985,0.98,0.99,0.965,0.975,0.955,0.985
VAE,1.021111111111111,-0.010555555555555565,mse,0.001,0.01,0.1,0.97,1.0,0.95,0.0,0.985,0.985,0.975,1.0,0.97,0.945,0.95,0.96,0.965,0.985,0.98,0.995,0.965,0.965,0.955,0.975
VAE,1.0155555555555555,-0.0077777777777777845,mse,0.001,0.1,0.1,0.97,0.99,0.95,0.0,0.985,0.965,0.975,0.98,0.97,0.97,0.95,0.98,0.965,0.98,0.98,0.985,0.965,0.96,0.955,0.975
VAE,1.017777777777778,-0.008888888888888898,mse,0.001,0.01,0.01,0.97,1.0,0.95,0.0,0.985,0.975,0.975,0.975,0.97,0.945,0.95,0.98,0.965,0.99,0.98,0.985,0.965,0.965,0.955,0.98
VAE,1.0233333333333334,-0.011666666666666678,mse,0.001,0.01,0.1,0.97,0.98,0.95,0.0,0.985,0.985,0.975,0.985,0.97,0.97,0.95,0.98,0.965,0.99,0.98,0.99,0.965,0.95,0.955,0.99
GAN,0.7944444444444444,0.10277777777777779,l1,5e-05,0.1,-1.0,0.985,0.995,0.995,0.0,1.0,0.995,0.99,1.0,0.7,0.725,0.99,0.305,0.86,0.785,0.97,0.69,0.8,1.0,1.0,0.875
GAN,0.7038888888888889,0.02555555555555554,smooth_l1,5e-05,0.1,-1.0,0.985,1.0,0.995,0.245,1.0,1.0,0.99,1.0,0.7,0.715,0.99,0.915,0.86,0.79,0.97,0.73,0.8,1.0,1.0,0.915
GAN,0.34777777777777774,0.1811111111111111,l1,1e-05,0.1,-1.0,0.985,1.0,0.995,0.29,1.0,0.94,0.99,0.81,0.7,0.585,0.99,0.81,0.86,0.51,0.97,0.34,0.8,1.0,1.0,0.67
GAN,0.7977777777777778,0.1011111111111111,l1,5e-05,0.1,-1.0,0.985,1.0,0.995,0.0,1.0,0.99,0.99,1.0,0.7,0.65,0.99,0.37,0.86,0.735,0.97,0.76,0.8,1.0,1.0,0.88
GAN,0.8777777777777778,0.0611111111111111,l1,0.0001,0.1,-1.0,0.985,1.0,0.995,0.0,1.0,1.0,0.99,1.0,0.7,0.605,0.99,0.28,0.86,0.91,0.97,0.975,0.8,1.0,1.0,0.975
GAN,0.72,0.13999999999999999,l1,0.0001,0.01,-1.0,0.985,1.0,0.995,0.0,1.0,1.0,0.99,0.97,0.7,0.635,0.99,0.1,0.86,0.51,0.97,0.99,0.8,1.0,1.0,0.83
GAN,0.8922222222222222,0.053888888888888875,l1,0.0001,0.1,-1.0,0.985,0.995,0.995,0.0,1.0,1.0,0.99,1.0,0.7,0.65,0.99,0.31,0.86,0.875,0.97,0.99,0.8,1.0,1.0,0.99
GAN,0.8822222222222222,0.05888888888888889,l1,0.0001,0.1,-1.0,0.985,1.0,0.995,0.0,1.0,1.0,0.99,1.0,0.7,0.64,0.99,0.315,0.86,0.85,0.97,0.99,0.8,1.0,1.0,0.97
RectifiedFlow,0.9644444444444444,0.01777777777777778,mse,0.0001,0.1,0.1,0.97,0.975,0.97,0.0,0.985,0.98,0.955,0.945,0.945,0.91,0.955,0.93,0.985,0.945,0.935,0.94,0.925,0.89,0.935,0.915
RectifiedFlow,0.9777777777777777,0.01111111111111112,l1,0.0001,0.1,0.1,0.97,0.965,0.97,0.0,0.985,0.98,0.955,0.985,0.945,0.91,0.955,0.895,0.985,0.96,0.935,0.965,0.925,0.875,0.935,0.955
RectifiedFlow,1.011111111111111,-0.005555555555555536,l1,5e-05,0.1,0.1,0.97,0.99,0.97,0.0,0.985,0.985,0.955,0.975,0.945,0.96,0.955,0.94,0.985,0.985,0.935,0.97,0.925,0.87,0.935,0.965
RectifiedFlow,0.9655555555555555,0.017222222222222226,l1,0.0001,0.1,0.1,0.97,0.975,0.97,0.0,0.985,0.985,0.955,0.97,0.945,0.915,0.955,0.91,0.985,0.95,0.935,0.99,0.925,0.845,0.935,0.895
RectifiedFlow,0.9888888888888889,0.005555555555555548,l1,0.0005,0.1,0.1,0.97,0.985,0.97,0.0,0.985,0.985,0.955,0.975,0.945,0.91,0.955,0.905,0.985,0.97,0.935,0.985,0.925,0.905,0.935,0.92
RectifiedFlow,0.9633333333333333,0.01833333333333335,l1,5e-05,0.01,0.1,0.97,0.96,0.97,0.0,0.985,0.945,0.955,0.96,0.945,0.86,0.955,0.955,0.985,0.935,0.935,0.975,0.925,0.89,0.935,0.945
RectifiedFlow,1.001111111111111,-0.0005555555555555437,l1,5e-05,0.1,0.1,0.97,0.965,0.97,0.0,0.985,0.985,0.955,1.0,0.945,0.975,0.955,0.945,0.985,0.98,0.935,0.99,0.925,0.875,0.935,0.88
